,temperature_celsius,precip_mm,humidity,wind_kph,pressure_mb
air_quality_Carbon_Monoxide,0.006577385898158409,-0.061503271515708835,-0.13737837832992858,-0.2607619973384791,0.06018533012816901
air_quality_Ozone,0.25154441201116,-0.12690534834530526,-0.417025856285711,0.1759058937440142,-0.1374057103836855
air_quality_Nitrogen_dioxide,-0.2104264995710083,-0.13753134387643554,-0.1088683678780052,-0.19850451605428654,0.11443013448975359
air_quality_Sulphur_dioxide,-0.03711348467775293,-0.14637257484546223,-0.23249646393590853,-0.13919100381582833,0.04575322932127799
air_quality_PM2.5,0.09377574404229633,-0.20375481777655172,-0.28643977453974573,-0.09379544970317624,0.0216831936791958
air_quality_PM10,0.1825847894198935,-0.2213755708069388,-0.35394552459690987,0.009958141867290127,-0.044723274689866616
air_quality_us-epa-index,0.0972878622136752,-0.18631906373836146,-0.28089560995221086,-0.09074870275859755,0.011905127175958406
air_quality_gb-defra-index,0.09542553327885965,-0.18810681943768925,-0.2804250005162023,-0.08482479131749047,0.010638417828166775
